,Unnamed: 0,Atom Number,Catalyst Name,CatalystO2File,Element,SpinDensity,ChElPGPositiveCharge,ChElPGNeutralCharge,ChargeDifference,Doesitbind,BondLength,IonizedFreeEnergy,IonizationEnergy,BindingEnergy,NeutralFreeEnergy,OrthoOrPara,Meta,FartherThanPara,DistanceToN,AverageBondLength,BondLengthRange,NumberOfHydrogens,AromaticSize,IsInRingSize6,IsInRingSize5,NeighborSpinDensity,NeighborChElPGCharge,NeighborChargeDifference,AromaticExtent,RingEdge,NumNitrogens,NumHeteroatoms,ring_nitrogens,atom_plane_deviation,ring_plane_deviation,charge,Doesitbind_pred,Doesitbind_predproba
313,313,20,sf126x0,None,C,-0.5340354189182862,-0.384983,-0.874187524265418,1.4633149747426524,0,0.0,-804.62748729,-0.9331092759194696,0.0,-804.73214673,0,0,1,0.5041869025911883,-10.3021115540612,0.0,3,5,0,0,-0.4406534205968183,0.055318866472066894,0.7556397178811749,-1.8254821697134858,0,2,2,0,-0.24376733069755524,-0.33701596875898887,0,0,0.024
314,314,21,sf126x0,None,C,-0.4565492723403782,-0.444223,-1.2829366880214874,1.0332320742068914,0,0.0,-804.62748729,-0.9331092759194696,0.0,-804.73214673,1,0,0,-0.8114009761927502,-10.3021115540612,0.0,3,5,0,0,-0.4406534205968183,0.055318866472066894,0.7556397178811749,-1.8254821697134858,0,2,2,0,-0.24376733069755524,-0.33701596875898887,0,0,0.002
532,532,1,sf138x0,None,C,-0.30017190741992567,-0.4108890000000001,-1.1690567063344437,0.9209039884072026,0,0.0,-748.10501976,-0.6752971543860267,0.0,-748.21317212,1,0,0,0.06565760966320877,0.7433158603022958,0.0,3,10,0,0,-0.9924595923700676,1.2650532569301718,0.55776887549359,-1.8254821697134858,0,1,1,0,-0.24376733069755524,-0.33701596875898887,0,0,0.001
533,533,2,sf138x0,None,C,-1.2999937801979402,0.157487,1.456552484400283,1.0923136401506557,0,0.0,-748.10501976,-0.6752971543860267,0.0,-748.21317212,0,1,0,-0.3728716832647707,0.20953328376135175,0.1383252438194129,0,10,1,0,1.5846226812200577,-1.904362713464117,-1.667901307053165,0.6190982360662127,2,1,1,1,-0.24376604564732865,-0.33697410093510366,0,0,0.015
534,534,3,sf138x0,sf138x0O2-2_optsp_a0m2.out,C,1.28325332153424,-0.28585,-1.3662705605322636,-1.4057206294632019,1,1.536973358,-748.10501976,-0.6752971543860267,-0.363797465,-748.21317212,1,0,0,0.06565760966320877,-0.0011446316054864816,0.07421010480628931,1,10,1,0,-1.0645537961802838,1.119099273812192,1.2413891055222979,0.6190982360662127,2,1,1,1,-0.2435744465576297,-0.33697410093510366,0,1,0.677
535,535,4,sf138x0,None,C,-0.4684308699814295,0.036762,0.9709565972629247,1.2758899837368347,0,0.0,-748.10501976,-0.6752971543860267,0.0,-748.21317212,0,1,0,-0.3728716832647707,0.1805725366427908,0.032306585931045406,0,10,1,0,0.5762646005202172,-1.0125099436289375,-1.6579354819430177,0.6190982360662127,1,1,1,1,-0.24369706229427704,-0.33697410093510366,0,0,0.005
536,536,5,sf138x0,None,C,-0.0986250465082067,0.091424,0.831100895089447,0.09510012540850865,0,0.0,-748.10501976,-0.6752971543860267,0.0,-748.21317212,1,0,0,0.06565760966320877,0.1955446492102129,0.012394022379458969,0,10,1,0,-0.3918244169802234,0.17790389783228294,1.157379352954119,0.6190982360662127,1,1,1,1,-0.2437672441835006,-0.33697410093510366,0,0,0.045
537,537,6,sf138x0,None,C,-0.3304618876732434,-0.22402600000000006,-0.4255480441897714,0.6119914066316622,0,0.0,-748.10501976,-0.6752971543860267,0.0,-748.21317212,0,0,1,0.5041869025911883,-0.027773302964041253,0.046888518037075055,1,10,1,0,-0.2688418930955698,0.15153317195917607,0.10930674553696124,0.6190982360662127,2,1,1,1,-0.24373313654497353,-0.33697410093510366,0,0,0.004
538,538,7,sf138x0,sf138x0O2-6_optsp_a0m2.out,C,-0.32892731620679705,-0.131916,-0.12805687850046563,0.2491563776756002,0,2.012174663,-748.10501976,-0.6752971543860267,0.951013566,-748.21317212,0,0,1,0.9427161955191676,-0.057787392930757166,0.03872681714189197,1,10,1,0,-0.31637657281172477,-0.35483008274583056,0.4736053293280327,0.6190982360662127,2,1,1,1,-0.24375817919865078,-0.33697410093510366,0,0,0.003
539,539,8,sf138x0,sf138x0O2-7_optsp_a0m2.out,C,-0.18098038187416404,-0.088788,0.08975762976221349,0.31887345315535276,0,2.017147918,-748.10501976,-0.6752971543860267,0.9851688129999999,-748.21317212,0,0,1,1.3812454884471472,-0.06543792163182355,0.040807217614381885,1,10,1,0,-0.47462489103693517,-0.61299128865416,0.27885649696723747,0.6190982360662127,2,1,1,1,-0.24376217361585764,-0.33697410093510366,0,0,0.001
